date,gwl,pr,tm
1984-03-25,192.93,3.2569437,2.416364
1984-04-01,192.93,9.371331,1.0386876
1984-04-08,193.0,0.41563162,3.329089
1984-04-15,193.02,2.1833901,13.939408
1984-04-22,192.98,0.0,13.20747
1984-04-29,192.89,0.0,6.7008796
1984-05-06,192.94,10.073053,12.172753
1984-05-13,192.95,0.081993066,7.854188
1984-05-20,192.94,0.22576104,14.662476
1984-05-27,192.99,10.470898,12.287696
1984-06-03,193.1,0.0,20.954567
1984-06-10,192.99,0.0035567817,11.580748
1984-06-17,192.97,0.48558718,11.280592
1984-06-24,192.94,0.116386004,8.982439
1984-07-01,192.94,0.0013986449,10.71189
1984-07-08,192.94,0.0,18.210043
1984-07-15,192.95,15.024504,12.187987
1984-07-22,192.92,0.0,12.213927
1984-07-29,192.94,0.09240421,16.884964
1984-08-05,192.94,2.282729,15.607579
1984-08-12,192.97,0.011775149,15.894689
1984-08-19,192.9,0.0009087882,16.181677
1984-08-26,192.87,0.08562586,14.313027
1984-09-02,192.89,0.05899592,16.16386
1984-09-09,193.02,26.503443,10.186903
1984-09-16,192.92,0.005809845,11.889634
1984-09-23,192.97,1.6367277,7.7104034
1984-09-30,192.95,1.9992356,13.830783
1984-10-07,192.98,9.359371,8.901678
1984-10-14,192.98,1.1946985,11.1147375
1984-10-21,192.91,0.00044716528,7.449975
1984-10-28,192.9,0.013851118,6.3017273
1984-11-04,192.9,0.103628725,4.948305
1984-11-11,192.94,0.036282364,7.3575263
1984-11-18,192.94,0.038314335,1.7818797
1984-11-25,192.95,3.6659508,7.5596476
1984-12-02,192.82,0.011890247,2.0112092
1984-12-09,192.94,4.6819444,4.2417974
1984-12-16,192.95,0.6003196,-1.5625329
1984-12-23,193.0,0.010214373,2.9156866
1984-12-30,192.98,0.39157557,-3.381233
1985-01-06,192.96,1.9899087,-12.432513
1985-01-13,192.97,0.49267754,-11.747628
1985-01-20,192.96,0.009730188,-6.7733274
1985-01-27,193.01,0.4062222,-5.9882565
1985-02-03,192.99,0.021666976,-2.2732606
1985-02-10,192.98,0.4592504,-9.040061
1985-02-17,192.96,0.16459385,-5.0873775
1985-02-24,192.95,0.051519144,2.2954226
1985-03-03,192.95,0.002878002,3.9450471
1985-03-10,192.95,0.6895216,-0.35160527
1985-03-17,192.94,5.3159995,-1.4765686
1985-03-24,192.97,0.03856663,3.838829
1985-03-31,192.96,5.99599,7.587438
1985-04-07,192.98,2.35868,8.672718
1985-04-14,192.98,3.2798595,4.565864
1985-04-21,192.97,0.0,10.077242
1985-04-28,192.96,10.210614,1.0016856
1985-05-05,192.96,0.0,8.803051
1985-05-12,192.98,10.172627,14.146393
1985-05-19,192.97,0.0,15.801646
1985-05-26,192.94,0.0,20.939705
1985-06-02,192.94,0.0,16.662258
1985-06-09,192.93,3.1294203,9.648972
1985-06-16,192.94,1.1359992,8.457969
1985-06-23,193.0,0.02269212,12.918852
1985-06-30,192.99,0.14445904,15.852629
1985-07-07,192.98,0.0,13.345234
1985-07-14,192.97,6.452117,23.308096
1985-07-21,192.95,4.860968,11.242435
1985-07-28,192.95,2.6378703,18.189606
1985-08-04,192.94,2.1151335,12.484416
1985-08-11,192.94,0.0,16.200102
1985-08-18,192.94,0.74798894,13.160015
1985-08-25,192.94,0.0018058983,13.302453
1985-09-01,192.94,0.66375756,14.662855
1985-09-08,192.94,1.6340038,8.690241
1985-09-15,192.94,4.6469097,10.410666
1985-09-22,192.94,2.2461112,15.640128
1985-09-29,192.94,0.0,10.279658
1985-10-06,192.94,0.07857028,11.656658
1985-10-13,192.94,0.06379442,8.070806
1985-10-20,192.94,0.0,5.22455
1985-10-27,192.94,0.0006729995,0.64917195
1985-11-03,192.94,0.010020409,1.9445932
1985-11-10,192.97,2.9841926,5.4094105
1985-11-17,192.96,0.035372533,-2.4007077
1985-11-24,192.96,0.039656255,-1.5807979
1985-12-01,192.98,0.19163209,3.6878057
1985-12-08,192.99,0.68274194,5.294069
1985-12-15,192.99,2.3006613,7.739107
1985-12-22,192.99,0.0,6.4102206
1985-12-29,193.01,1.3102152,-5.126815
1986-01-05,193.0,0.7051691,-1.5506053
1986-01-12,193.04,13.001633,1.2447354
1986-01-19,193.31,17.187876,6.1691837
1986-01-26,193.14,0.29015464,-3.225306
1986-02-02,193.03,0.23660132,-2.5637999
1986-02-09,192.99,5.988181,-13.516154
1986-02-16,192.99,0.046573386,-5.0368505
1986-02-23,192.96,0.012722899,-15.212051
1986-03-02,192.95,0.0035567817,-5.7720313
1986-03-09,192.98,0.3000468,0.86009496
1986-03-16,192.96,0.0013914083,3.7933524
1986-03-23,192.97,8.88663,2.6985314
1986-03-30,193.04,4.0316353,2.5891087
1986-04-06,193.09,0.4116118,1.883798
1986-04-13,193.05,0.0018058983,-1.1217905
1986-04-20,193.02,2.5892408,4.9271703
1986-04-27,193.0,0.0012609398,11.65649
1986-05-04,192.98,3.203868,13.781647
1986-05-11,192.97,0.060836222,11.55136
1986-05-18,192.97,4.507117,17.611868
1986-05-25,192.97,0.0019836714,13.758829
1986-06-01,192.96,1.4028344,9.577433
1986-06-08,193.14,1.3506808,9.366159
1986-06-15,192.96,0.0,19.944124
1986-06-22,192.96,0.0,16.409935
1986-06-29,192.96,0.0,17.021374
1986-07-06,192.96,10.351034,14.836497
1986-07-13,192.95,0.00044716528,11.45545
1986-07-20,192.95,0.00630296,14.420322
1986-07-27,192.95,0.03772366,17.89226
1986-08-03,192.96,0.0,25.32453
1986-08-10,192.94,0.015443004,18.275377
1986-08-17,192.94,0.0020361894,13.812765
1986-08-24,192.97,0.031956032,11.167135
1986-08-31,192.97,2.9386308,10.937851
1986-09-07,192.98,0.091583975,10.971062
1986-09-14,192.98,6.4000835,14.319683
